,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-08-29 00:00:00,1181,340,156,324,1551,0,0
2017-08-29 01:00:00,1182,338,156,326,1556,0,0
2017-08-29 02:00:00,1183,337,156,337,1325,0,0
2017-08-29 03:00:00,1185,339,156,313,1158,0,0
2017-08-29 04:00:00,1190,344,156,320,1209,0,0
2017-08-29 05:00:00,1194,351,157,331,1209,0,0
2017-08-29 06:00:00,1196,359,155,382,1126,121,0
2017-08-29 07:00:00,1194,363,153,380,1164,2291,0
2017-08-29 08:00:00,1187,364,153,346,903,5854,66
2017-08-29 09:00:00,1189,367,157,356,711,7469,296
2017-08-29 10:00:00,1186,371,160,394,728,8317,449
2017-08-29 11:00:00,1180,377,164,417,709,8648,516
2017-08-29 12:00:00,1177,376,164,432,726,8499,527
2017-08-29 13:00:00,1175,375,163,458,823,8042,255
2017-08-29 14:00:00,1172,372,162,488,1100,6820,264
2017-08-29 15:00:00,1172,373,160,561,1467,5512,220
2017-08-29 16:00:00,1173,373,159,552,1941,5210,194
2017-08-29 17:00:00,1175,369,162,554,1430,4063,189
2017-08-29 18:00:00,1180,369,164,561,1562,1352,81
2017-08-29 19:00:00,1190,368,166,556,1590,21,17
2017-08-29 20:00:00,1197,365,168,493,1855,0,19
2017-08-29 21:00:00,1200,374,167,438,1905,0,19
2017-08-29 22:00:00,1205,363,167,366,1841,0,11
2017-08-29 23:00:00,1207,355,166,366,1915,0,0
2017-08-30 00:00:00,1208,353,165,350,2256,0,0
2017-08-30 01:00:00,1209,361,167,336,2352,0,0
2017-08-30 02:00:00,1210,365,167,318,2238,0,0
2017-08-30 03:00:00,1209,369,167,304,2151,0,0
2017-08-30 04:00:00,1205,373,166,291,2048,0,0
2017-08-30 05:00:00,1209,378,165,357,1806,0,0
2017-08-30 06:00:00,1212,385,166,382,1539,92,0
2017-08-30 07:00:00,1212,390,165,389,1363,2143,1
2017-08-30 08:00:00,1203,391,163,359,1280,5382,230
2017-08-30 09:00:00,1197,373,162,360,845,7173,394
2017-08-30 10:00:00,1188,385,162,365,689,7889,340
2017-08-30 11:00:00,1179,388,163,386,700,8548,590
2017-08-30 12:00:00,1176,389,162,427,630,8569,506
2017-08-30 13:00:00,1171,389,162,434,627,8202,308
2017-08-30 14:00:00,1167,390,160,475,806,7259,215
2017-08-30 15:00:00,1165,390,161,553,1475,6637,183
2017-08-30 16:00:00,1165,394,162,574,1347,5812,179
2017-08-30 17:00:00,1167,390,163,558,1450,4347,150
2017-08-30 18:00:00,1174,390,165,561,1674,1350,60
2017-08-30 19:00:00,1182,391,167,558,1285,12,20
2017-08-30 20:00:00,1187,391,167,486,1167,0,20
2017-08-30 21:00:00,1189,391,166,446,1347,0,21
2017-08-30 22:00:00,1192,379,165,378,1334,0,21
2017-08-30 23:00:00,1197,372,165,375,1187,0,21
2017-08-31 00:00:00,1200,368,163,365,1146,0,0
2017-08-31 01:00:00,1200,368,165,342,1045,0,0
2017-08-31 02:00:00,1194,368,165,308,804,0,0
2017-08-31 03:00:00,1192,371,165,309,691,0,0
2017-08-31 04:00:00,1189,374,165,308,664,0,0
2017-08-31 05:00:00,1191,377,165,361,434,0,0
2017-08-31 06:00:00,1194,383,165,381,320,93,0
2017-08-31 07:00:00,1191,387,165,384,259,2238,0
2017-08-31 08:00:00,1185,387,166,383,226,5535,106
2017-08-31 09:00:00,1181,388,167,384,349,7105,132
2017-08-31 10:00:00,1174,389,165,391,339,7768,84
2017-08-31 11:00:00,1170,386,163,392,363,8374,127
2017-08-31 12:00:00,1167,386,164,427,340,8648,186
2017-08-31 13:00:00,1165,390,163,425,295,8611,398
2017-08-31 14:00:00,1119,389,160,453,265,8307,373
2017-08-31 15:00:00,1109,387,159,537,274,6417,246
2017-08-31 16:00:00,1111,387,160,539,297,5270,226
2017-08-31 17:00:00,1111,383,161,549,1045,3488,208
2017-08-31 18:00:00,1112,383,162,563,1087,1156,49
2017-08-31 19:00:00,1145,383,163,564,991,26,0
2017-08-31 20:00:00,1173,378,165,493,637,0,0
2017-08-31 21:00:00,1178,363,164,453,526,0,0
2017-08-31 22:00:00,1183,351,163,384,457,0,0
2017-08-31 23:00:00,1187,343,162,380,678,0,0
2017-09-01 00:00:00,1186,342,164,309,767,0,0
2017-09-01 01:00:00,1185,357,163,303,639,0,0
2017-09-01 02:00:00,1184,357,161,315,484,0,0
2017-09-01 03:00:00,1183,356,163,299,408,0,0
2017-09-01 04:00:00,1180,343,164,301,352,0,0
2017-09-01 05:00:00,1180,341,163,309,423,0,0
2017-09-01 06:00:00,1181,345,163,368,462,104,0
2017-09-01 07:00:00,1174,352,159,381,479,2159,82
2017-09-01 08:00:00,1160,367,162,383,703,5503,257
2017-09-01 09:00:00,1154,380,165,383,809,7319,394
2017-09-01 10:00:00,1150,381,165,383,947,8158,441
2017-09-01 11:00:00,1149,377,163,403,974,8409,494
2017-09-01 12:00:00,1152,379,160,452,793,8560,543
2017-09-01 13:00:00,1153,380,159,456,685,8647,545
