,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-07-04,1,1030,256,180,500,2543,0,0
2017-07-04,2,1031,255,180,481,2382,0,0
2017-07-04,3,1032,257,181,481,2402,0,0
2017-07-04,4,1033,257,181,478,2347,0,0
2017-07-04,5,1033,257,182,480,2199,0,0
2017-07-04,6,1033,258,183,496,2069,0,0
2017-07-04,7,1033,261,180,481,2029,1186,96
2017-07-04,8,1031,261,180,423,1862,4498,313
2017-07-04,9,1027,262,179,422,1615,7071,471
2017-07-04,10,1023,262,180,430,1511,8137,513
2017-07-04,11,1020,261,182,448,1220,8727,522
2017-07-04,12,1018,261,184,457,1030,9072,523
2017-07-04,13,1016,260,184,457,1130,9182,516
2017-07-04,14,1015,261,180,490,1514,9142,507
2017-07-04,15,1018,260,180,527,1865,8971,504
2017-07-04,16,1019,261,181,568,2228,8546,499
2017-07-04,17,1019,260,179,590,2545,7846,485
2017-07-04,18,1020,261,179,597,2882,6593,432
2017-07-04,19,1021,260,181,646,2725,4032,308
2017-07-04,20,1022,259,181,646,2592,998,62
2017-07-04,21,1021,258,182,645,2657,57,0
2017-07-04,22,1023,257,180,601,2661,0,0
2017-07-04,23,1025,253,180,557,2890,0,0
2017-07-04,24,1026,249,180,501,3046,0,0
