Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,Suppressed by,Suppressing Agency,Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With Ignition,Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes
PG&E,6/10/14,15:14,40.2059900,-122.2533300,Vegetation,Rural,< 0.25 Acres,Fire Agency,Red Bluff FD,101545144,,"12,000",Conductor,Overhead,Yes,6/10/14,15:14,Contact From Object,N.A.,Other,Electric Facility,Human Error,Conveyor belt contact
PG&E,6/12/14,6:30,38.0437500,-122.7462400,Vegetation,Rural,10 - 99 Acres,Fire Agency,Cal Fire et al,102230371,AT&T,"12,000",Conductor,Overhead,Yes,6/12/14,6:30,Equipment/ Facility Failure,Crossarm,N.A.,N.A.,Unknown,
PG&E,6/13/14,9:19,36.9334800,-121.3885490,Vegetation,Rural,< 0.25 Acres,Fire Agency,Hollister FD,101703071,AT&T,"21,000",Conductor,Overhead,Yes,6/13/14,9:19,Contact From Object,N.A.,Vehicle,Pole,Human Error,
PG&E,6/14/14,8:47,37.4190050,-122.1807700,Vegetation,Rural,< 3 meters,Unknown,,100275552,AT&T,"12,000",Conductor,Overhead,Yes,6/14/14,8:47,Contact From Object,N.A.,Animal,Electric Facility,Unknown,
PG&E,6/14/14,11:01,37.1309150,-121.0919180,Vegetation,Rural,10 - 99 Acres,Fire Agency,CAL Fire,Pole 000/013,None,"70,000",Conductor,Overhead,Yes,6/14/14,11:01,Equipment/ Facility Failure,Crossarm,N.A.,N.A.,Unknown,
PG&E,6/15/14,9:47,37.1307740,-121.9714100,Vegetation,Rural,< 0.25 Acres,Fire Agency,,"23633 Schulties Rd, Los Gatos",,"12,000",Conductor,Overhead,Yes,6/15/14,9:47,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,
PG&E,6/15/14,17:28,37.9707710,-121.9849810,Vegetation,Urban,< 3 meters,Self Extinguished,,"4239 Teakwood Ct, Concord",,0 – 750,Conductor,Overhead,Yes,6/15/14,17:28,Wire-Wire Contact,N.A.,N.A.,N.A.,Weather,
PG&E,6/15/14,20:55,39.8878600,-122.1973690,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,101500605,,"12,000",Conductor,Overhead,Yes,6/15/14,20:55,Contact From Object,N.A.,Vehicle,Pole,Human Error,
PG&E,6/16/14,15:37,38.1681700,-120.6074690,Vegetation,Rural,< 0.25 Acres,Fire Agency,,101280871,AT&T,0 – 750,Conductor,Overhead,No,,,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,
PG&E,6/17/14,13:49,38.6667940,-122.5963970,Vegetation,Rural,< 3 meters,Fire Agency,Cal Fire,102247824,,"12,000",Conductor,Overhead,Yes,6/17/14,13:49,Contact From Object,N.A.,Vehicle,Pole,Human Error,
