Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,Suppressed by,Suppressing Agency,Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With Ignition,Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes
SDG&E,1/1/2014,18:45,33.1179000,-117.0780000,Vegetation,Urban,Less Than .25 Acres,Customer,,P11112,,12kV,Other,Overhead,Yes,1/1/2014,18:45,Equipment/Facility Failure,Splice/Clamp/Connector,,,Other,
SDG&E,3/5/2014,9:49,33.2038000,-117.1142000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P515262,,12kV,Conductor,Overhead,Yes,3/12/2014,9:49,Equipment/Facility Failure,Splice/Clamp/Connector,,,,
SDG&E,4/15/2014,6:20,32.6778000,-117.0460000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,S.D.F.D.,Z180434,,12kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Guy/Span Wire,,,None,
SDG&E,4/17/2014,16:42,33.2203000,-117.3380000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,OFD,TL23010,,230kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,4/27/2014,12:00,32.2415000,-117.3470000,Vegetation,Rural,Less Than .25 Acres,Utility,,"TL 6912, Z122445",none,69kV,Other,Overhead,No,,,Equipment/Facility Failure,Other,,,None,
SDG&E,4/28/2014,13:30,33.2926,-116.948,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 214, P215546",none,12kV,Conductor,Overhead,Yes,4/28/2014,13:30,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
SDG&E,4/28/2014,16:20,33.2887000,-116.9560000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P812595,,12kV,Conductor,Overhead,Yes,4/28/2014,16:20,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,4/29/2014,10:05,33.3181000,-117.2220000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 233, P213051",none,12kV,Conductor,Overhead,Yes,4/29/2014,10:05,Contact From Object,,Vehicle,Electric Facility,Outside Force,
SDG&E,4/29/2014,13:40,33.1264000,-117.0160000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido FD,"Circuit 455, P316707",none,12kV,Conductor,Overhead,Yes,4/29/2014,13:40,Contact From Object,,Vehicle,Pole,Outside Force,
SDG&E,4/29/2014,16:49,32.7186000,-117.0960000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SD Fire-Rescue,"Circuit 323, P476600",none,12kV,Conductor,Overhead,Yes,4/29/2014,16:49,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,5/1/2014,6:48,32.8640000,-116.8990000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Lakeside FD,"Circuit 242, P372465",AT&T,12kV,Conductor,Overhead,Yes,5/1/2014,6:48,Contact Between Third Party Facility on Pole and Supply Lines,,,,Weather,
SDG&E,5/13/2014,9:00,32.6405000,-116.7720000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P177622,,12kV,Conductor,Overhead,No,,,Wire-Wire Contact,,,,Weather,
SDG&E,5/13/2014,8:35,32.7543000,-116.7780000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P274777,,240V,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,Other,
SDG&E,5/19/2014,18:30,33.1073000,-117.1640000,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,Cal Fire,P211709,AT&T,12kV,Conductor,Overhead,Yes,5/19/2014,18:30,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,5/28/2014,15:50,32.9808000,-117.2462000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P313226,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Pole,,
SDG&E,5/31/2014,11:30,33.3146000,-116.8661000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P219919,,12kV,Conductor,Overhead,Yes,5/31/2014,11:30,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,6/4/2014,9:30,33.0191000,-116.8280000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"TL 637,Circuit 970, Z416592",none,69kV,Conductor,Overhead,Yes,6/14/2014,9:30,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,6/17/2014,15:30,32.5640000,-117.0320000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,SDFD,P192047,,12kV,Switch,Overhead,Yes,6/17/2014,15:30,Equipment/Facility Failure,Switch,,,None,
SDG&E,7/4/2014,12:00,32.7563000,-116.9260000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 96, P471597",none,12kV,Conductor,Overhead,no,,,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,7/6/2014,11:14,33.0283000,-116.9260000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 972, P319081",none,12kV,Conductor,Overhead,Yes,7/6/2014,11:14 a.m.,Contact From Object,,Animal,Electric Facility,None,
