Date,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2018-01-01,1,975,304,214,299,236,0,0
2018-01-01,2,976,304,215,301,277,0,0
2018-01-01,3,975,304,216,301,128,0,0
2018-01-01,4,974,303,215,301,82,0,0
2018-01-01,5,974,305,215,301,127,0,0
2018-01-01,6,974,306,215,299,116,0,0
2018-01-01,7,973,316,216,468,93,0,0
2018-01-01,8,973,319,213,510,151,814,0
2018-01-01,9,974,322,213,513,82,3743,33
2018-01-01,10,972,321,213,338,22,5851,197
2018-01-01,11,970,319,213,305,16,6395,277
2018-01-01,12,967,345,214,306,41,6418,232
2018-01-01,13,966,366,214,307,71,6573,202
2018-01-01,14,965,367,215,309,106,6098,274
2018-01-01,15,965,365,214,307,91,4631,155
2018-01-01,16,964,366,213,325,76,2284,8
2018-01-01,17,966,371,213,372,123,229,0
2018-01-01,18,968,370,214,508,119,0,0
2018-01-01,19,969,368,214,554,138,0,0
2018-01-01,20,970,367,214,552,129,0,0
2018-01-01,21,970,365,214,536,147,0,0
2018-01-01,22,969,364,214,415,181,0,0
2018-01-01,23,971,353,213,348,196,0,0
2018-01-01,24,971,356,213,301,172,0,0
2018-01-02,1,971,356,214,300,166,0,0
2018-01-02,2,970,353,214,301,131,0,0
2018-01-02,3,970,353,214,301,105,0,0
2018-01-02,4,970,355,214,303,92,0,0
2018-01-02,5,969,354,214,300,38,0,0
2018-01-02,6,967,355,214,338,41,0,0
2018-01-02,7,967,364,213,361,75,0,0
2018-01-02,8,965,367,213,362,90,496,0
2018-01-02,9,967,367,210,362,107,1977,0
2018-01-02,10,966,356,211,366,157,3629,51
2018-01-02,11,965,349,214,365,218,4353,74
2018-01-02,12,964,357,214,356,300,5087,75
2018-01-02,13,963,361,214,351,322,5390,75
2018-01-02,14,964,363,214,350,284,5406,72
2018-01-02,15,965,363,210,351,243,4462,70
2018-01-02,16,965,369,210,355,163,2348,71
2018-01-02,17,966,371,211,359,152,416,73
2018-01-02,18,967,366,213,408,203,0,74
2018-01-02,19,969,366,216,502,320,0,74
2018-01-02,20,969,366,215,540,437,0,1
2018-01-02,21,969,360,216,533,409,0,0
2018-01-02,22,969,355,215,451,384,0,0
2018-01-02,23,969,343,214,383,392,0,0
2018-01-02,24,970,345,214,338,375,0,0
2018-01-03,1,969,342,212,334,354,0,0
2018-01-03,2,970,335,213,335,353,0,0
