State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,00:00,2018-11-15,08:00,135.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,01:00,2018-11-15,09:00,143.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,02:00,2018-11-15,10:00,143.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,03:00,2018-11-15,11:00,163.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,04:00,2018-11-15,12:00,165.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,05:00,2018-11-15,13:00,160.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,06:00,2018-11-15,14:00,154.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,07:00,2018-11-15,15:00,151.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,08:00,2018-11-15,16:00,146.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,09:00,2018-11-15,17:00,118.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,10:00,2018-11-15,18:00,123.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,11:00,2018-11-15,19:00,141.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,12:00,2018-11-15,20:00,154.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,13:00,2018-11-15,21:00,125.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,14:00,2018-11-15,22:00,108.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,15:00,2018-11-15,23:00,108.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,16:00,2018-11-16,00:00,102.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,17:00,2018-11-16,01:00,119.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,18:00,2018-11-16,02:00,134.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,19:00,2018-11-16,03:00,138.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,20:00,2018-11-16,04:00,139.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,21:00,2018-11-16,05:00,143.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,22:00,2018-11-16,06:00,129.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2018-11-15,23:00,2018-11-16,07:00,130.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,00:00,2018-11-15,08:00,137.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,01:00,2018-11-15,09:00,139.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,02:00,2018-11-15,10:00,145.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,03:00,2018-11-15,11:00,140.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,04:00,2018-11-15,12:00,135.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,05:00,2018-11-15,13:00,127.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,06:00,2018-11-15,14:00,132.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,07:00,2018-11-15,15:00,127.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,08:00,2018-11-15,16:00,128.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,09:00,2018-11-15,17:00,139.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,10:00,2018-11-15,18:00,138.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,11:00,2018-11-15,19:00,153.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,12:00,2018-11-15,20:00,141.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,13:00,2018-11-15,21:00,165.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,14:00,2018-11-15,22:00,172.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,15:00,2018-11-15,23:00,192.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,16:00,2018-11-16,00:00,214.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,17:00,2018-11-16,01:00,208.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,18:00,2018-11-16,02:00,165.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,19:00,2018-11-16,03:00,153.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,20:00,2018-11-16,04:00,146.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,21:00,2018-11-16,05:00,153.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,22:00,2018-11-16,06:00,154.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,9,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,2018-11-15,23:00,2018-11-16,07:00,154.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,00:00,2018-11-15,08:00,144.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,01:00,2018-11-15,09:00,139.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,02:00,2018-11-15,10:00,131.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,03:00,2018-11-15,11:00,130.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,04:00,2018-11-15,12:00,126.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,05:00,2018-11-15,13:00,128.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,06:00,2018-11-15,14:00,120.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,07:00,2018-11-15,15:00,101.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,08:00,2018-11-15,16:00,105.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,09:00,2018-11-15,17:00,126.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,10:00,2018-11-15,18:00,134.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,11:00,2018-11-15,19:00,152.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,12:00,2018-11-15,20:00,164.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,13:00,2018-11-15,21:00,176.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,14:00,2018-11-15,22:00,209.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,15:00,2018-11-15,23:00,171.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,16:00,2018-11-16,00:00,160.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,17:00,2018-11-16,01:00,163.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,18:00,2018-11-16,02:00,176.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,19:00,2018-11-16,03:00,169.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,20:00,2018-11-16,04:00,164.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,21:00,2018-11-16,05:00,166.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,22:00,2018-11-16,06:00,169.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,11,88101,3,37.814780999999996,-122.282347,WGS84,PM2.5 - Local Conditions,2018-11-15,23:00,2018-11-16,07:00,164.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2018-11-15,00:00,2018-11-15,08:00,134.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2019-01-28
